Field ID,Crop
84337,Fallow
91979,Weeds
119964,Weeds
43134,Weeds
95735,Fallow
75612,Fallow
88832,Weeds
110557,Planted pastures (perennial)
67175,Small grain grazing
66395,Fallow
42833,Fallow
92918,Fallow
3869,Fallow
69394,Fallow
113551,Fallow
3200,Fallow
20871,Fallow
28902,Fallow
98019,Fallow
111876,Fallow
91411,Fallow
45525,Fallow
85328,Weeds
19605,Fallow
74826,Weeds
118407,Weeds
114441,Weeds
61649,Weeds
80264,Weeds
108804,Weeds
72301,Weeds
34562,Weeds
9481,Weeds
70941,Fallow
17757,Weeds
28413,Weeds
53809,Fallow
105892,Fallow
115756,Weeds
104350,Fallow
94569,Fallow
49906,Fallow
4362,Fallow
53498,Weeds
23464,Fallow
49990,Fallow
40608,Weeds
33994,Fallow
94480,Fallow
83504,Fallow
110893,Fallow
63045,Weeds
23885,Weeds
69605,Weeds
45088,Wine grapes
90567,Wine grapes
122012,Wine grapes
107348,Fallow
20935,Fallow
40912,Fallow
76359,Fallow
19518,Planted pastures (perennial)
16257,Lucerne/Medics
91829,Lucerne/Medics
83267,Wine grapes
17015,Wine grapes
100289,Wine grapes
57145,Fallow
85847,Weeds
39810,Wine grapes
43295,Wine grapes
76589,Planted pastures (perennial)
61189,Weeds
8893,Weeds
50732,Fallow
73316,Fallow
43724,Lucerne/Medics
109039,Lucerne/Medics
66222,Fallow
7877,Weeds
25497,Weeds
70872,Weeds
45660,Fallow
65601,Lucerne/Medics
74863,Wine grapes
45594,Wine grapes
70220,Wine grapes
5221,Wine grapes
54849,Wine grapes
106832,Lucerne/Medics
36543,Wine grapes
63162,Wine grapes
11010,Lucerne/Medics
63896,Fallow
16852,Fallow
13300,Wine grapes
53926,Wine grapes
28082,Wine grapes
70806,Lucerne/Medics
98439,Lucerne/Medics
109134,Wine grapes
23788,Fallow
38844,Fallow
1678,Wine grapes
19661,Wine grapes
922,Wine grapes
31485,Fallow
64943,Fallow
53767,Fallow
118884,Wine grapes
